movie_actors,movie_name,movie_release_time,movie_type
王千源／张译／姜武,八佰,2020-08-21,剧情／战争／历史
丹尼尔·雷德克里夫／鲁伯特·格林特／艾玛·沃特森,哈利·波特与魔法石,2020-08-14,奇幻／冒险
肖央／谭卓／陈冲,误杀,2019-12-13,剧情／犯罪
乔治·麦凯／迪恩·查尔斯·查普曼／马克·斯特朗,1917,2020-08-07,剧情／战争／历史
杉山纪彰／下屋则子／植田佳奈,命运之夜——天之杯3：春之歌,2020-08-15,剧情／动画／奇幻
小连杀／宝木中阳,妙先生,2020-07-31,动画／奇幻／冒险
马修·麦康纳／安妮·海瑟薇／杰西卡·查斯坦,星际穿越,2020-08-02,剧情／科幻／冒险
姜栋元／李贞贤／权海孝,釜山行2：半岛,2020-08-12,动作／惊悚
詹姆斯·麦斯登／金·凯瑞／迪卡·桑普特,刺猬索尼克,2020-07-31,动画／冒险／喜剧
李现／顾璇／董博睿,抵达之谜,2020-07-31,剧情／爱情／青春
王宝强／刘昊然／肖央,唐人街探案2,2018-02-16,喜剧／动作／悬疑
汤姆·赫兰德／克里斯·帕拉特／茱莉亚·路易斯-德瑞弗斯,1/2的魔法,2020-08-19,喜剧／动画／奇幻／冒险
吕艳婷／囧森瑟夫／瀚墨,哪吒之魔童降世,2019-07-26,动画／喜剧／奇幻
威尔·史密斯／马丁·劳伦斯／凡妮莎·哈金斯,绝地战警：疾速追击,2020-08-14,动作／喜剧
马特·达蒙／克里斯蒂安·贝尔／乔·博恩瑟,极速车王,2020-08-07,剧情／传记／运动
小罗伯特·唐尼／汤姆·赫兰德／麦克·辛,多力特的奇幻冒险,2020-07-24,剧情／奇幻／冒险
汪可盈／张子枫／丹增·诺盖·特雷纳,雪人奇缘,2020-08-14,动画／冒险
安东尼·冈萨雷斯／本杰明·布拉特／盖尔·加西亚·贝纳尔,寻梦环游记,2017-11-24,动画／冒险／家庭
吴京／弗兰克·格里罗／吴刚,战狼2,2017-07-27,动作／战争
醍醐虎汰朗／森七菜／本田翼,天气之子,2019-11-01,爱情／动画／奇幻
金秀贤／陈嘉莉／李培毓,我在世界城等你,2016-05-16,短片
周冬雨／易烊千玺／尹昉,少年的你,2019-10-25,爱情／青春／剧情
周星驰／朱茵／莫文蔚,大话西游之大圣娶亲,2020-07-24,喜剧／爱情／奇幻／古装
黄渤／张译／韩昊霖,我和我的祖国,2019-09-30,剧情
王净／林柏叡／吴岳擎,斗鱼,2018-08-17,偶像爱情
赵英博／任敏／辛云来,悲伤逆流成河,2020-08-14,剧情／爱情／家庭
克里斯汀·贝尔／伊迪娜·门泽尔／乔什·加德,冰雪奇缘2,2019-11-22,喜剧／动画／冒险
罗曼·格里芬·戴维斯／托马辛·麦肯齐／斯嘉丽·约翰逊,乔乔的异想世界,2020-07-31,剧情／喜剧／战争
殷果儿／刘小奇／闫薇儿,恐怖电影院2,2017-10-20,恐怖／惊悚
季冠霖／苏尚卿／许魏洲,大鱼海棠,2016-07-08,剧情／动画／奇幻
